"","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","source","island","tax_comm","dist_comm","generalisd","legend","kingdom","phylum","class","order_","family","genus","category","marine","terrestial","freshwater","SHAPE_Leng","SHAPE_Area"
"4047",10845,"Iomys horsfieldii",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Iomys","LC","false","true","false",118.25872113,65.6766017651
"4048",15917,"Palawanomys furvus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Palawanomys","LC","false","true","false",1.23232183704,0.0721799549033
"4049",80221456,"Asellia italosomalica",1,1,1,"IUCN",2017,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Asellia","DD","false","true","false",28.247167143,21.3473284621
"4050",80221456,"Asellia italosomalica",1,1,1,"IUCN",2017,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Socotra",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","HIPPOSIDERIDAE","Asellia","DD","false","true","false",2.96013216898,0.301265067114
"4051",8258,"Euneomys petersoni",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Euneomys","LC","false","true","false",57.3148259361,67.4885448098
"4052",6983,"Makalata macrura",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ECHIMYIDAE","Makalata","LC","false","true","false",57.3104198343,200.892990737
"4053",41662,"Poecilogale albinucha",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","MUSTELIDAE","Poecilogale","LC","false","true","false",140.984122745,479.335481185
"4054",22039,"Trachypithecus obscurus",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)","obscurus",NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Trachypithecus","EN","false","true","false",19.6202136083,11.4255498148
"4055",22039,"Trachypithecus obscurus",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)","carbo",NA,NA,"Langkawi",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Trachypithecus","EN","false","true","false",1.01823855566,0.0297373450158
"4056",22039,"Trachypithecus obscurus",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)","halonifer",NA,NA,"Penang",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Trachypithecus","EN","false","true","false",0.758455141669,0.0235885400135
"4057",22039,"Trachypithecus obscurus",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)","sanctorum",NA,NA,"St. Matthew's Island",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Trachypithecus","EN","false","true","false",0.853381660856,0.0142884050117
"4058",22039,"Trachypithecus obscurus",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)","flavicauda",NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Trachypithecus","EN","false","true","false",39.4083573294,9.76538093012
"4059",22039,"Trachypithecus obscurus",1,1,1,"IUCN",2020,"IUCN (International Union for Conservation of Nature)","carbo",NA,NA,"Terutau",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Trachypithecus","EN","false","true","false",0.561335300234,0.0120862300091
