FID,id_no,binomial,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,source,island,tax_comm,dist_comm,generalisd,legend,kingdom,phylum,class,order_,family,genus,category,marine,terrestial,freshwater,SHAPE_Leng,SHAPE_Area
4075,59476,Lissotriton italicus,1,1,1,IUCN,2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Lissotriton,LC,false,true,true,25.57809547,8.033203785
4076,59099,Hynobius nigrescens,1,1,1,Jennifer Luedtke,2020,IUCN (International Union for Conservation of Nature)., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Hynobius,LC,false,true,true,2.001283669,0.09094484
4077,59099,Hynobius nigrescens,1,1,1,IUCN,2020,IUCN (International Union for Conservation of Nature)., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Hynobius,LC,false,true,true,23.44521583,8.431849423
4078,41157,Limnodynastes depressus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LIMNODYNASTIDAE,Limnodynastes,LC,false,true,true,20.66318177,5.233964679
4079,55213,Epipedobates anthonyi,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Epipedobates,NT,false,true,true,6.581545802,1.691879243
4080,59508,Caecilia corpulenta,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , ,"Lynch, J.D. (1999)", , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,CAECILIIDAE,Caecilia,DD,false,true,true,0.274123265,0.004966376
4081,59508,Caecilia corpulenta,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,CAECILIIDAE,Caecilia,DD,false,true,true,1.996073772,0.105362548
4082,57201,Phrynopus barthlenae,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Phrynopus,EN,false,true,false,0.509657083,0.010948891
4083,41053,Uperoleia arenicola,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MYOBATRACHIDAE,Uperoleia,DD,false,true,true,2.761159565,0.602115923
4084,87735921,Myersiohyla neblinaria,1,1,1,Grisel Velasquez,2019,IUCN (International Union for Conservation of Nature), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Myersiohyla,LC,false,true,true,0.191456294,0.00107939
4085,87735921,Myersiohyla neblinaria,3,1,1,Grisel Velasquez,2019,IUCN (International Union for Conservation of Nature), , , , , , ,0,Possibly Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Myersiohyla,LC,false,true,true,2.996639864,0.06043229
4086,189814,Raorchestes resplendens,1,1,1,Marcelo Tognelli and Aina Pascual Cuadras,2010,IUCN (International Union for Conservation of Nature) and Conservation International., , ,Biju et al. 2010, , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,CR,false,true,false,0.114133819,0.001036413
4087,57833,Kalophrynus baluensis,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Kalophrynus,LC,false,true,false,1.919954766,0.121464225
4088,59137,Bolitoglossa altamazonica,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Bolitoglossa,LC,false,true,false,105.6022207,161.3757791
4089,56592,Eleutherodactylus eunaster,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,CR,false,true,false,1.068171831,0.038721018
4090,57188,Odontophrynus carvalhoi,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ODONTOPHRYNIDAE,Odontophrynus,LC,false,true,true,33.58766026,75.27642115
4091,58118,Phrynobatrachus inexpectatus,1,1,1,Aina Pascual Cuadras,2012,IUCN (International Union for Conservation of Nature) and Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHRYNOBATRACHIDAE,Phrynobatrachus,DD,false,true,true,0.32465684,0.002795606
