OBJECTID,id_no,binomial,orig_area_km2
453,136399,Brachytarsomys villosa,10127.46807875171
454,2993,Brachyteles arachnoides,73235.200884733378
455,2994,Brachyteles hypoxanthus,96656.917210272746
456,2997,Brachyuromys betsileoensis,42770.179565039063
457,2998,Brachyuromys ramirohitra,68443.717165729497
458,61925,Bradypus pygmaeus,3.4129678653062632
459,3036,Bradypus torquatus,75453.226963480789
460,3037,Bradypus tridactylus,1042605.084320677
461,3038,Bradypus variegatus,9792465.7140950151
462,5042,Brassomys albidens,88.996382806210775
463,114980541,Brucepattersonius griserufescens,48591.451736930743
464,136402,Brucepattersonius guarani,15937.10069135408
465,136672,Brucepattersonius igniventris,17514.79709317533
466,15787,Brucepattersonius iheringi,178501.39517401939
467,136457,Brucepattersonius misionensis,16902.027926045728
468,136198,Brucepattersonius paradisus,21086.960136148551
469,136442,Brucepattersonius soricinus,103601.0442404823
470,3129,Bubalus arnee,13690.44492292406
471,3126,Bubalus depressicornis,107246.6024007829
472,3127,Bubalus mindorensis,98.748531509469132
473,3128,Bubalus quarlesi,70025.920402657634
474,3160,Budorcas taxicolor,440396.68840005068
475,3322,Bullimus bagobus,118864.0514224073
476,136264,Bullimus gamay,252.9180652514184
477,3323,Bullimus luzonicus,38307.888112942092
478,3326,Bunolagus monticularis,45473.816536336482
479,3327,Bunomys andrewsi,117011.3368433111
480,3328,Bunomys chrysocomus,169337.7529805353
481,3329,Bunomys coelestis,133.47703013104189
482,3330,Bunomys fratrorum,7086.7262503899192
483,92440861,Bunomys karokophilus,384.89309890863223
484,3332,Bunomys penitus,4215.3192461808694
485,3333,Bunomys prolatus,782.22426278594094
486,92440844,Bunomys torajae,384.52753795665961
487,3339,Burramys parvus,1197.763271778851
488,3412,Cabassous centralis,753492.28344841872
489,3413,Cabassous chacoensis,478745.23432777252
490,3414,Cabassous tatouay,2538418.4951191121
491,3415,Cabassous unicinctus,9760783.1672809646
492,136419,Cacajao ayresi,6367.1757621461174
493,3416,Cacajao calvus,210952.147464838
494,136640,Cacajao hosomi,69745.480971329569
495,160875418,Cacajao melanocephalus,473237.61001634039
496,40521,Caenolestes caniventer,19664.02106130516
497,136743,Caenolestes condorensis,78.682885822966
498,40522,Caenolestes convelatus,22781.56797242141
499,41506,Caenolestes fuliginosus,180936.1268598265
500,51222063,Caenolestes sangay,879.69909591951023
501,3519,Calcochloris obtusirostris,115466.71932889659
502,4767,Calcochloris tytonis,312.20686200770501
503,41584,Callibella humilis,25728.919087660492
504,39929,Callicebus barbarabrownae,129701.2236315481
505,39954,Callicebus coimbrai,38585.371049982037
506,39930,Callicebus melanochir,99866.689029459172
507,39943,Callicebus nigrifrons,490589.30118713161
508,3555,Callicebus personatus,142975.5383461313
509,3564,Callimico goeldii,602349.05296867818
510,6985,Callistomys pictus,27160.45482518031
