OBJECTID,FID_modeled_reptiles,Binomial,Group,Area (km2)
381,543,Anadia bogotensis,lizard,82.5265406
382,544,Anadia brevifrontalis,lizard,649.798667
383,548,Anadia marmorata,lizard,486.014948
384,553,Anadia petersi,lizard,901.6230228
385,555,Anadia rhombifera,lizard,7452.871378
386,557,Anadia vittata,lizard,495.4105875
387,558,Anatololacerta anatolica,lizard,4070.469068
388,559,Anatololacerta budaki,lizard,730.7507282
389,560,Anatololacerta danfordi,lizard,2995.719725
390,561,Anatololacerta pelasgiana,lizard,733.3720317
391,562,Ancylocranium barkeri,worm lizard,9.676657285
392,563,Ancylocranium ionidesi,worm lizard,71.52283396
393,564,Ancylocranium somalicum,worm lizard,75635.96711
394,565,Androngo trivittatus,lizard,798.438899
395,566,Anelytropsis papillosus,lizard,1397.515112
396,567,Anepischetosia maccoyi,lizard,6349.073767
397,568,Anguis cephallonica,lizard,503.5904378
398,569,Anguis fragilis,lizard,179266.6891
399,570,Anguis graeca,lizard,11003.06351
400,571,Anguis incomptus,lizard,3142.762099
401,572,Anguis veronensis,lizard,37263.34735
402,573,Anilios affinis,snake,151509.6932
403,574,Anilios ammodytes,snake,20720.96628
404,575,Anilios aspinus,snake,2273.422038
405,576,Anilios australis,snake,1810.446496
406,577,Anilios batillus,snake,5.550567488
407,578,Anilios bicolor,snake,390360.634
408,579,Anilios bituberculatus,snake,1420109.138
409,580,Anilios broomi,snake,752733.1233
410,581,Anilios centralis,snake,3771.430996
411,582,Anilios chamodracaena,snake,25480.70857
412,583,Anilios diversus,snake,743533.1533
413,584,Anilios endoterus,snake,863581.3003
414,585,Anilios erycinus,snake,3183.245276
415,587,Anilios grypus,snake,725920.5655
416,588,Anilios guentheri,snake,67776.11111
417,589,Anilios hamatus,snake,47643.04694
418,590,Anilios howi,snake,180.9038695
419,591,Anilios kimberleyensis,snake,300.2432026
420,592,Anilios leptosomus,snake,313.2679902
421,593,Anilios leucoproctus,snake,4426.065919
422,594,Anilios ligatus,snake,656267.9638
423,595,Anilios longissimus,snake,2064.009425
424,597,Anilios micrommus,snake,738.1860268
